INT	INT	INT
#等级	升级经验	停留时间
#Lv	exp	day
1	120	0
2	156	2.9185986304467E-03
3	200	2.35176245902763E-02
4	321	2.34398791240575E-02
5	555	2.33648638263341E-02
6	942	2.32950378003001E-02
7	1519	2.32340752993732E-02
8	2324	2.31870826346922E-02
9	3396	2.31608089323072E-02
10	4772	2.31638530147691E-02
11	6490	2.32068681343082E-02
12	8589	2.33027659277255E-02
13	11106	.023466920716832
14	14080	2.37173751003812E-02
15	17549	2.40750476539328E-02
16	21550	.024563943453085
17	26122	2.52113680609863E-02
18	31302	2.60481455600791E-02
19	37129	2.71088411628898E-02
20	43641	2.84319888979988E-02
21	50876	3.00603248392251E-02
22	58872	3.20410263223944E-02
23	67667	3.44259575749827E-02
24	77298	3.72719221715779E-02
25	87805	4.06409227140091E-02
26	99225	6.55443656197087E-02
27	111596	6.96374869667329E-02
28	124956	7.44022899389817E-02
29	139344	7.99140461294816E-02
30	154796	8.62539755861038E-02
31	171352	9.35095823704518E-02
32	189049	.13913565444201
33	207926	.146414846016448
34	228020	.154709121634582
35	249370	.164112809304911
36	272013	.174727622985439
37	295988	.186663185242137
38	321332	.229278199887151
39	348084	.240899600279851
40	376282	.253988581215371
41	405963	.268671369495719
42	437167	.306829319990012
43	469930	.320970714335273
44	504291	.336932229641971
45	540288	.354867686029499
46	577959	.374944936759011
47	617341	.397347103252446
48	658475	.422273919938307
49	701396	.449943198724972
50	746143	.480592423783827
51	792754	.514480488286639
52	841268	.540616860246674
53	891722	.547764261026733
54	944155	.558468083582682
55	998603	.57291912965648
56	1055107	.591343810310972
57	1113702	.61400763863783
58	1174429	.641219236427325
59	1237323	.673334920196966
60	1302425	.710763941443737
61	1369771	1.02870438752052
62	1439400	1.14623849979264
63	1511349	1.27497517918807
64	1585657	1.41577700398352
65	1662363	1.56955768520067
66	1741503	1.73728422067338
67	1823116	1.91997910407663
68	1907240	2.11872258943635
69	1993912	2.33465501163261
70	2286231	2.56897916340983
71	2651630	2.82296272940082
72	3163189	3.09794077767054
73	3820908	3.39531830928113
74	4624786	3.71657286638077
75	5574824	4.06325719930482
76	6671022	4.43700199320101
77	7913379	4.83951865464076
78	9301896	5.27260215873808
79	10836573	5.73813395723861
80	12517410	6.23808494806723
81	14344406	6.77451850682725
82	16317562	7.34959358070702
83	18436877	7.9655678452925
84	20702353	8.62480092474716
85	23113988	9.32975767582907
86	25671782	10.0830115362194
87	28375737	10.8872479376328
88	31225851	11.7452677841569
89	34222125	12.6599909963015
90	37364558	13.6344601212238
91	38190860	14.6718440095319
92	39223739	15.7754415592302
93	40669768	16.94868552712
94	42528949	18.1951464082514
95	44801282	19.5185363837603
96	47486765	20.9227133376036
97	50585400	22.4116849426103
98	54097187	23.9896128163243
99	58022125	25.6608167470131
100	62360214	27.4297789904041
