INT	INT	INT
#等级	获得经验	获得铜钱
#Lv	AddExp	AddCopper
1	22500	0
2	24300	0
3	26100	2000
4	27900	2000
5	29700	2000
6	31500	4000
7	33300	4000
8	35100	4000
9	36900	6000
10	38700	6000
11	40500	6000
12	42300	8000
13	44100	8000
14	45900	8000
15	47700	10000
16	49500	10000
17	51300	12000
18	53100	12000
19	54900	12000
20	56700	14000
21	58500	14000
22	60300	14000
23	62100	16000
24	63900	16000
25	65700	18000
26	67500	18000
27	69300	18000
28	71100	20000
29	72900	20000
30	74700	22000
31	76500	22000
32	78300	22000
33	80100	24000
34	81900	24000
35	83700	26000
36	85500	26000
37	87300	28000
38	89100	28000
39	90900	30000
40	92700	30000
41	94500	32000
42	96300	32000
43	98100	34000
44	99900	34000
45	101700	36000
46	103500	36000
47	105300	38000
48	107100	38000
49	108900	40000
50	110700	40000
51	112500	42000
52	114300	44000
53	116100	44000
54	117900	46000
55	119700	48000
56	121500	48000
57	123300	50000
58	125100	52000
59	126900	54000
60	128700	56000
61	130500	56000
62	132300	58000
63	134100	60000
64	135900	62000
65	137700	64000
66	139500	66000
67	141300	68000
68	143100	70000
69	144900	72000
70	146700	74000
71	148500	76000
72	150300	78000
73	152100	80000
74	153900	82000
75	155700	86000
76	157500	88000
77	159300	90000
78	161100	92000
79	162900	96000
80	164700	98000
81	166500	102000
82	168300	104000
83	170100	108000
84	171900	110000
85	173700	114000
86	175500	116000
87	177300	120000
88	179100	124000
89	180900	128000
90	182700	130000
91	184500	134000
92	186300	138000
93	188100	142000
94	189900	146000
95	191700	150000
96	193500	156000
97	195300	160000
98	197100	164000
99	198900	168000
100	200700	174000
