INT	INT	INT	INT
#等级	获得经验	获得铜钱	获得银两
#Lv	AddExp	AddCopper	AddSilver
1	22500	0	10
2	24300	0	10
3	26100	2000	10
4	27900	2000	10
5	29700	2000	10
6	31500	4000	10
7	33300	4000	10
8	35100	4000	10
9	36900	6000	10
10	38700	6000	10
11	40500	6000	10
12	42300	8000	10
13	44100	8000	10
14	45900	8000	10
15	47700	10000	10
16	49500	10000	10
17	51300	12000	10
18	53100	12000	10
19	54900	12000	10
20	56700	14000	10
21	58500	14000	10
22	60300	14000	10
23	62100	16000	10
24	63900	16000	10
25	65700	18000	10
26	67500	18000	10
27	69300	18000	10
28	71100	20000	10
29	72900	20000	10
30	74700	22000	10
31	76500	22000	10
32	78300	22000	10
33	80100	24000	10
34	81900	24000	10
35	83700	26000	10
36	85500	26000	10
37	87300	28000	10
38	89100	28000	10
39	90900	30000	10
40	92700	30000	10
41	94500	32000	10
42	96300	32000	10
43	98100	34000	10
44	99900	34000	10
45	101700	36000	10
46	103500	36000	10
47	105300	38000	10
48	107100	38000	10
49	108900	40000	10
50	110700	40000	10
51	112500	42000	10
52	114300	44000	10
53	116100	44000	10
54	117900	46000	10
55	119700	48000	10
56	121500	48000	10
57	123300	50000	10
58	125100	52000	10
59	126900	54000	10
60	128700	56000	10
61	130500	56000	10
62	132300	58000	10
63	134100	60000	10
64	135900	62000	10
65	137700	64000	10
66	139500	66000	10
67	141300	68000	10
68	143100	70000	10
69	144900	72000	10
70	146700	74000	10
71	148500	76000	10
72	150300	78000	10
73	152100	80000	10
74	153900	82000	10
75	155700	86000	10
76	157500	88000	10
77	159300	90000	10
78	161100	92000	10
79	162900	96000	10
80	164700	98000	10
81	166500	102000	10
82	168300	104000	10
83	170100	108000	10
84	171900	110000	10
85	173700	114000	10
86	175500	116000	10
87	177300	120000	10
88	179100	124000	10
89	180900	128000	10
90	182700	130000	10
91	184500	134000	10
92	186300	138000	10
93	188100	142000	10
94	189900	146000	10
95	191700	150000	10
96	193500	156000	10
97	195300	160000	10
98	197100	164000	10
99	198900	168000	10
100	200700	174000	10
