izoneareaid,level,vroleid,expchange,expreason,expsubreason,mapid,sumexp,,54939
1204,44,0X04B402013C336A85,13,20,0,21,398393,,12877633
1204,44,0X04B402013C336A85,14,20,0,21,398407,,0.004266234
1204,44,0X04B402013C336A85,13,20,0,21,398420,,
1204,44,0X04B402013C336A85,14,20,0,21,398434,,
1204,44,0X04B402013C336A85,13,20,0,21,398447,,
1204,44,0X04B402013C336A85,13,20,0,21,398460,,
1204,44,0X04B402013C336A85,13,20,0,21,398473,,
1204,44,0X04B402013C336A85,14,20,0,21,398487,,
1204,44,0X04B402013C336A85,14,20,0,21,398501,,
1204,44,0X04B402013C336A85,14,20,0,21,398515,,
1204,44,0X04B402013C336A85,13,20,0,21,398528,,
1204,44,0X04B402013C336A85,14,20,0,21,398555,,
1204,44,0X04B402013C336A85,13,20,0,21,398541,,
1204,44,0X04B402013C336A85,14,20,0,21,398569,,
1204,42,0X04B402013C336A85,14,20,0,40,429251,,
1204,42,0X04B402013C336A85,14,20,0,40,429419,,
1204,44,0X04B402013C336A85,215,20,0,894,788392,,
1204,44,0X04B402013C336A85,215,20,0,894,788607,,
1204,44,0X04B402013C336A85,215,20,0,894,788822,,
1204,44,0X04B402013C336A85,215,20,0,894,788177,,
1204,44,0X04B402013C336A85,215,20,0,894,789467,,
1204,44,0X04B402013C336A85,215,20,0,894,787962,,
1204,44,0X04B402013C336A85,215,20,0,894,789682,,
1204,44,0X04B402013C336A85,215,20,0,894,789037,,
1204,44,0X04B402013C336A85,215,20,0,894,789252,,
1204,44,0X04B402013C336A85,215,20,0,894,789897,,
1204,44,0X04B402013C336A85,215,20,0,894,790542,,
1204,44,0X04B402013C336A85,215,20,0,894,790112,,
1204,44,0X04B402013C336A85,1076,20,0,894,795273,,
1204,44,0X04B402013C336A85,215,20,0,894,793767,,
1204,44,0X04B402013C336A85,215,20,0,894,794197,,
1204,44,0X04B402013C336A85,215,20,0,894,793982,,
1204,42,0X04B402013C336A85,1431,20,0,884,433712,,
1204,42,0X04B402013C336A85,1431,20,0,884,432281,,
1204,42,0X04B402013C336A85,1431,20,0,884,430850,,
1204,42,0X04B402013C336A85,1431,20,0,884,435143,,
1204,42,0X04B402013C336A85,1431,20,0,884,436574,,
1204,49,0X04B402013C336A85,2,20,0,15,181007,,
1204,47,0X04B402013C336A85,2,20,0,10,655251,,
1204,47,0X04B402013C336A85,2,20,0,15,663017,,
1204,47,0X04B402013C336A85,6336,10,16,10,340737,,
1204,47,0X04B402013C336A85,3872,10,16,10,351297,,
1204,47,0X04B402013C336A85,5984,10,16,27,474233,,
1204,47,0X04B402013C336A85,7744,10,16,15,720747,,
1204,47,0X04B402013C336A85,2,20,0,15,728851,,
1204,47,0X04B402013C336A85,1,20,0,27,752808,,
1204,47,0X04B402013C336A85,1,20,0,27,752809,,
1204,47,0X04B402013C336A85,1,20,0,27,752814,,
1204,47,0X04B402013C336A85,1,20,0,27,408705,,
1204,48,0X04B402013C336A85,8464,10,16,10,211988,,
1204,48,0X04B402013C336A85,2,20,0,10,220836,,
1204,37,0X04B402013C336A85,35858,20,0,878,165623,,
1204,38,0X04B402013C336A85,133,20,0,21,324601,,
1204,38,0X04B402013C336A85,138,20,0,21,325015,,
1204,38,0X04B402013C336A85,138,20,0,21,324877,,
1204,38,0X04B402013C336A85,133,20,0,21,325148,,
1204,38,0X04B402013C336A85,138,20,0,21,325286,,
1204,38,0X04B402013C336A85,133,20,0,21,325419,,
1204,38,0X04B402013C336A85,133,20,0,21,325552,,
1204,38,0X04B402013C336A85,138,20,0,21,325828,,
1204,38,0X04B402013C336A85,138,20,0,21,325690,,
1204,38,0X04B402013C336A85,138,20,0,21,325966,,
1204,38,0X04B402013C336A85,133,20,0,21,326099,,
1204,38,0X04B402013C336A85,133,20,0,21,326503,,
1204,38,0X04B402013C336A85,138,20,0,21,326237,,
1204,38,0X04B402013C336A85,133,20,0,21,326370,,
1204,38,0X04B402013C336A85,138,20,0,21,326641,,
1204,38,0X04B402013C336A85,133,20,0,21,326774,,
1204,38,0X04B402013C336A85,138,20,0,21,326912,,
1204,47,0X04B402013C336A85,2816,10,16,15,53989,,
1204,47,0X04B402013C336A85,2,20,0,10,53993,,
1204,47,0X04B402013C336A85,3872,10,16,15,64579,,
1204,47,0X04B402013C336A85,4224,10,16,27,268860,,
1204,46,0X04B402013C336A85,15,20,0,34,928058,,
1204,46,0X04B402013C336A85,15,20,0,34,928301,,
1204,46,0X04B402013C336A85,17,20,0,34,928350,,
1204,46,0X04B402013C336A85,15,20,0,34,928365,,
1204,46,0X04B402013C336A85,17,20,0,34,928493,,
1204,46,0X04B402013C336A85,15,20,0,34,928525,,
1204,41,0X04B402013C336A85,664,122,144,104,140549,,
1204,41,0X04B402013C336A85,664,122,144,104,141213,,
1204,41,0X04B402013C336A85,731,122,144,104,142952,,
1204,41,0X04B402013C336A85,731,122,144,104,143683,,
1204,41,0X04B402013C336A85,559,122,144,104,135960,,
1204,41,0X04B402013C336A85,559,122,144,104,136519,,
1204,41,0X04B402013C336A85,553,122,144,104,137072,,
1204,41,0X04B402013C336A85,553,122,144,104,137625,,
1204,41,0X04B402013C336A85,510,122,144,104,145509,,
1204,41,0X04B402013C336A85,510,122,144,104,146019,,
1204,41,0X04B402013C336A85,931,128,94,104,90686,,
1204,41,0X04B402013C336A85,931,128,94,104,91617,,
1204,41,0X04B402013C336A85,931,128,94,104,92548,,
1204,41,0X04B402013C336A85,931,128,94,104,93479,,
1204,40,0X04B402013C336A85,2,20,0,15,290806,,
1204,40,0X04B402013C336A85,2,20,0,15,290802,,
1204,40,0X04B402013C336A85,2,20,0,15,290804,,
1204,40,0X04B402013C336A85,32143,10,8,15,322949,,
1204,40,0X04B402013C336A85,10714,10,8,15,333663,,
1204,40,0X04B402013C336A85,10714,10,8,15,344377,,
1204,40,0X04B402013C336A85,10714,10,8,15,355091,,
1204,40,0X04B402013C336A85,10714,10,8,15,365805,,
1204,40,0X04B402013C336A85,10714,10,8,15,376519,,
1204,40,0X04B402013C336A85,42857,10,8,15,419376,,
1204,39,0X04B402013C336A85,138,20,0,21,57895,,
1204,39,0X04B402013C336A85,138,20,0,21,58299,,
1204,39,0X04B402013C336A85,133,20,0,21,58028,,
1204,39,0X04B402013C336A85,133,20,0,21,57757,,
1204,39,0X04B402013C336A85,133,20,0,21,58161,,
1204,39,0X04B402013C336A85,138,20,0,21,58437,,
1204,39,0X04B402013C336A85,133,20,0,21,58979,,
1204,39,0X04B402013C336A85,133,20,0,21,58570,,
