INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
#天数	1级	2级	3级	4级	5级	6级	7级	8级	9级	10级	11级	12级	13级	14级	15级	16级	17级	18级	19级	20级	21级	22级	23级	24级	25级	26级	27级	28级	29级	30级	31级	32级	33级	34级	35级	36级	37级	38级	39级	40级	41级	42级	43级	44级	45级	46级	47级	48级	49级	50级	51级	52级	53级	54级	55级	56级	57级	58级	59级	60级	61级	62级	63级	64级	65级	66级	67级	68级	69级	70级	71级	72级	73级	74级	75级	76级	77级	78级	79级	80级
#Day	Lv1	Lv2	Lv3	Lv4	Lv5	Lv6	Lv7	Lv8	Lv9	Lv10	Lv11	Lv12	Lv13	Lv14	Lv15	Lv16	Lv17	Lv18	Lv19	Lv20	Lv21	Lv22	Lv23	Lv24	Lv25	Lv26	Lv27	Lv28	Lv29	Lv30	Lv31	Lv32	Lv33	Lv34	Lv35	Lv36	Lv37	Lv38	Lv39	Lv40	Lv41	Lv42	Lv43	Lv44	Lv45	Lv46	Lv47	Lv48	Lv49	Lv50	Lv51	Lv52	Lv53	Lv54	Lv55	Lv56	Lv57	Lv58	Lv59	Lv60	Lv61	Lv62	Lv63	Lv64	Lv65	Lv66	Lv67	Lv68	Lv69	Lv70	Lv71	Lv72	Lv73	Lv74	Lv75	Lv76	Lv77	Lv78	Lv79	Lv80
2	36	15	4	6	18	15	25	15	19	30	35	50	35	43	73	77	73	73	59	85	66	67	114	186	251	279	260	277	305	217	390	448	703	476	380	828	827	769	610	207	57																																							
3	24	4	0	2	13	8	12	5	7	11	15	27	14	21	26	34	35	26	38	45	35	40	45	95	112	120	157	125	138	132	156	212	351	278	268	515	599	608	603	678	604	510	344	75	3	1																																		
4	12	4	1	1	8	7	10	4	8	4	12	13	9	22	15	18	18	25	13	31	16	19	39	60	61	75	83	79	80	64	92	127	194	173	193	329	373	391	418	513	481	693	520	361	194	294	180	56	43	1																														
5	7	4	3	0	2	4	10	1	10	13	10	7	5	9	13	17	12	14	10	23	16	14	23	42	53	48	50	53	57	45	46	88	140	122	128	184	285	270	280	369	336	562	455	378	284	407	334	263	305	29	68	17																												
6	4	1	1	1	5	4	12	5	5	3	5	6	6	14	10	7	6	15	14	15	11	11	13	29	36	46	43	59	49	33	38	59	88	89	97	157	172	202	182	186	239	392	319	323	289	384	375	369	615	79	134	126	99	56	6	1																								
7	7	8	2	1	2	5	9	4	6	1	7	9	6	7	10	12	6	7	9	15	10	8	8	26	46	41	34	44	32	24	18	35	56	68	51	118	113	158	158	159	187	306	241	211	262	384	364	318	629	163	213	193	140	112	62	84	42	22	8																					
8	5	1	2	1	4	6	6	5	2	3	4	10	5	5	8	9	6	10	3	8	3	6	11	20	26	30	36	32	33	20	15	20	41	40	35	66	94	87	112	116	132	237	227	139	221	259	319	343	573	197	218	248	184	168	82	139	90	61	96																					
9	4	2	0	1	4	4	9	2	5	3	6	5	5	6	6	10	8	7	4	11	5	2	9	13	20	18	26	29	22	15	8	11	18	32	26	58	85	68	65	89	97	194	155	111	169	230	219	254	541	196	235	235	207	187	94	187	154	109	201	28																				
10	5	1	1	0	0	2	4	2	4	4	7	7	6	5	3	9	6	4	1	4	4	8	8	12	17	18	26	18	37	16	14	10	21	20	31	38	65	69	49	53	80	130	124	103	125	194	204	191	441	180	230	282	197	189	134	201	175	153	250	149																				
11	3	3	2	0	1	4	1	4	4	3	5	5	2	4	6	11	5	7	6	16	5	11	8	6	14	20	18	20	13	14	10	20	21	23	17	19	47	60	42	44	61	121	96	74	89	145	153	171	328	166	196	257	243	180	112	210	172	173	326	279																				
12	3	3	2	0	1	3	0	3	4	2	4	4	6	4	4	7	3	4	7	4	3	3	14	22	23	17	17	16	24	10	8	10	17	23	15	18	48	39	39	33	42	75	73	67	85	110	119	125	278	115	140	247	216	190	149	212	168	159	377	419																				
13	3	2	2	0	1	0	4	0	2	1	8	7	10	6	7	5	6	4	4	2	1	3	7	14	16	13	26	25	23	11	3	2	11	12	18	25	41	42	32	26	29	57	59	46	62	82	105	111	219	85	130	174	155	191	163	237	176	164	403	595																				
14	0	0	2	1	0	2	1	1	1	1	3	1	3	8	7	5	5	4	5	3	3	5	10	10	16	15	17	20	28	16	10	9	25	7	8	16	27	23	34	23	39	59	46	37	61	74	85	81	191	73	107	141	167	137	144	227	185	186	394	753																				
15	4	1	1	0	2	1	1	3	2	1	2	0	1	6	3	7	5	6	5	4	3	2	7	9	10	13	20	10	12	16	10	4	16	8	10	16	23	29	36	19	32	52	48	30	57	64	82	75	161	64	88	152	121	144	111	221	156	169	380	897																				
16	2	1	1	1	1	1	1	2	2	3	1	3	1	6	4	3	4	2	4	4	4	3	4	7	7	14	10	14	8	13	8	9	16	20	13	11	18	18	33	24	29	36	43	40	31	55	63	58	155	57	75	104	104	123	93	180	173	162	367	153	216	187	150	156	65	64	21	2												
17	3	1	0	0	1	0	3	1	0	6	3	6	4	3	4	2	4	3	5	4	1	0	3	7	12	13	16	9	11	11	3	9	10	9	21	11	28	28	21	13	29	40	42	26	32	50	53	54	126	54	67	112	95	99	77	165	147	144	346	132	122	159	131	133	99	158	81	57	23											
18	1	1	2	0	2	4	4	1	2	1	3	5	3	1	4	5	4	3	3	6	2	2	2	6	10	6	12	9	7	8	1	9	10	7	15	15	19	24	12	25	29	28	42	34	35	37	43	51	90	47	57	87	87	82	77	141	114	132	311	93	104	119	116	96	108	167	125	95	149											
19	0	0	2	0	2	1	2	1	3	2	3	1	2	4	3	3	3	5	3	2	1	3	3	3	12	7	6	13	15	6	3	10	10	7	6	10	13	22	22	14	21	23	37	23	18	41	45	57	90	38	57	69	84	80	64	112	112	105	283	92	103	100	90	99	102	131	124	117	282											
20	1	0	0	1	1	1	1	2	1	2	4	0	1	3	2	2	3	1	4	3	0	0	7	4	9	13	6	9	13	5	2	3	8	6	6	11	9	18	18	20	19	25	21	19	16	38	45	48	79	39	55	68	63	52	74	93	100	89	252	82	92	92	77	66	101	154	91	119	418	3	1									
